restaurant_id,date,qty_in_grams,inventory_in_grams,inventory_start_grams,inventory_value,daily_cost,revenue_items_using_ing,waste_cost,covers,seasonality_factor,is_weekend,is_holiday,day_of_week,month,year,lead_time_days,stockout_qty,inventory_turnover,cost_per_cover,revenue_per_cover,profit_margin,waste_ratio,inventory_level
R001,2023-01-01,157164.0,1130789.651,1287953.651,6828.0361704,1004.57,27044.91,0.0,367,0.8156057356348537,1,1,6,1,2023,3.152173913043478,0.0,0.12202603552692942,2.729809782608696,73.49160326086957,0.9628198866298083,0.0,1130789.651
R001,2023-01-02,62114.0,1068675.651,1130789.651,6449.8971704,378.139,9874.14,0.0,157,0.8163859256315303,0,0,0,1,2023,3.152173913043478,0.0,0.054929707762502535,2.3932848101265822,62.494556962025314,0.9616067215249607,0.0,1068675.651
R001,2023-01-03,72021.75,996653.901,1068675.651,5988.4211704,461.476,12282.55,0.0,182,0.8171970592064369,0,0,1,1,2023,3.152173913043478,0.0,0.06739339718202564,2.5217267759562842,67.11775956284153,0.9623499721171811,0.0,996653.901
R001,2023-01-04,86362.25,940685.308,1027047.558,5788.0497404,504.308,13664.5,0.0,185,0.8180389563540744,0,0,2,1,2023,3.152173913043478,0.0,0.08408779636298365,2.711333333333333,73.46505376344086,0.9630230873367238,0.0,940685.308
R001,2023-01-05,70580.0,886445.955,957025.955,5484.3666224,401.727,11163.8,0.0,145,0.8189114278931496,0,0,3,1,2023,3.152173913043478,0.0,0.07374922893368244,2.7515547945205476,76.46438356164383,0.9639288657208368,0.0,886445.955
R001,2023-01-06,63391.0,890320.252,953711.252,5679.1471954,388.64799999999997,10520.61,0.0,154,0.8198142755193178,0,0,4,1,2023,3.152173913043478,0.0,0.06646763724285258,2.507406451612903,67.87490322580645,0.9629668843456468,0.0,890320.252
R001,2023-01-07,82238.5,842313.013,924551.513,5839.7224154000005,524.05,14688.08,0.0,235,0.8207472918606487,1,0,5,1,2023,3.152173913043478,0.0,0.08894951757056119,2.220550847457627,62.23762711864407,0.9642557600612156,0.0,842313.013
R001,2023-01-08,97120.75,745192.263,842313.013,5261.8554154,577.867,14950.64,0.0,227,0.8217102605357961,1,0,6,1,2023,3.152173913043478,0.0,0.11530230828535439,2.534504385964912,65.57298245614035,0.9612840464323646,0.0,745192.263
R001,2023-01-09,72623.75,697318.531,769942.281,4921.7054874000005,439.15,11381.12,0.0,173,0.8227029562148604,0,0,0,1,2023,3.152173913043478,0.0,0.09432350640903898,2.5238505747126436,65.40873563218392,0.9613296995638774,0.0,697318.531
R001,2023-01-10,69471.0,627847.531,697318.531,4472.8434874,448.86199999999997,11950.98,0.0,161,0.8237251446829238,0,0,1,1,2023,3.152173913043478,0.0,0.09962577686641622,2.7707530864197527,73.77148148148147,0.9623608807912999,0.0,627847.531
